INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('S9HRfUmnN4','56799750170','M',19770102,839,3761,20,10);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('uf9YXWuBj6','21308431660','M',20021026,577,3797,20,9);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('ArNhiqVlm7','98325691174','M',19870205,931,3806,20,9);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('erm8L1UH6R','42287736131','M',19990417,497,3837,20,6);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('RXbEft00we','55024165853','M',19940123,572,3734,20,9);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('O4CaZzylTJ','09054734000','F',19710311,924,3839,20,4);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('WKqBRT7hxk','51653397420','M',19821119,354,3763,20,6);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('xa1Cwxm7dS','89459335810','M',19990117,519,3712,20,5);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('lrisRtJ4U3','60121655873','M',19701217,798,3847,20,6);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('AvYWV3kcS7','45496388260','F',19721109,813,3763,20,7);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('x7qSK7aFkZ','53176457197','M',19960121,546,3839,20,8);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('swneSfSCoP','78010233234','F',19800724,314,3732,20,7);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('u5h7LcRHrX','71997587904','F',19830824,474,3708,20,3);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('c8WyHNT5VO','99098704107','M',19920211,842,3800,20,9);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('OfS2Z1ZIAt','31136670114','M',20000727,423,3825,20,9);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('sMmuvyH9iB','84480060111','M',19980715,732,3760,20,5);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('cAGf7YQCD5','40461768909','M',19890409,988,3769,20,3);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('7RLDRvNDE2','54437576950','M',19960421,610,3836,20,7);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('phrrryvf7V','71413429580','M',19711004,647,3702,20,9);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('A138iYqLMx','37447106100','F',19940323,528,3755,20,5);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('oFbmHPqwLe','65240289964','F',19740220,461,3824,20,7);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('kcYnYmhxpZ','96806643841','F',20011204,593,3835,20,6);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('Ubuz55SjuJ','29333725920','M',19811220,914,3797,20,4);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('Pa0XrXSq56','32733644670','F',19990201,935,3702,20,9);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('UB0h93qrbT','53838468678','M',19961015,307,3764,20,2);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('lTqVDfzs8R','85712778262','F',19780321,852,3745,20,8);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('rEP0bZBCnf','85918788336','M',19860318,340,3803,20,6);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('du2hxUme2n','51285895525','F',19940910,757,3767,20,2);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('EvvCbG9soc','79293385252','F',19850403,390,3746,20,2);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('zDxHjun7QS','33209208808','M',19890710,402,3816,20,4);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('IbtD6JTwOK','90830435921','F',19881218,306,3720,20,6);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('cpdSWCkzYB','46346971140','F',19990507,381,3698,20,4);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('Zj5DkMCCbF','97763434902','M',19800806,911,3769,20,3);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('EeTUK3BACU','67307700905','F',19741114,613,3788,20,7);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('mK4Z6vVc9a','36613530980','F',19790913,803,3828,20,3);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('HHZlfAHU5Q','36316326904','M',19850608,922,3739,20,5);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('aEpMw9EPZ8','05979608109','M',19941225,727,3770,20,5);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('IRwJy2qTIQ','36476761447','M',19770305,442,3732,20,5);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('BNo1pA06ut','98380597303','F',19780113,948,3742,20,9);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('lIFlQV72cv','15611112790','F',20020525,560,3754,20,3);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('NRgnK4l5gr','47080917298','M',19950606,868,3794,20,2);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('oTxajbXeGY','89515070171','F',19990501,566,3830,20,4);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('M3l045BURe','35968349107','M',19951001,506,3715,20,1);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('oIkxTdQCde','86159586378','F',19730206,458,3689,20,2);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('hcSt6bjoF5','37976111299','M',19931126,491,3771,20,10);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('v8qqtn7YVC','82873394560','F',20000504,761,3719,20,7);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('rj3Au6AhOw','73969658292','F',19801102,734,3847,20,2);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('SbRZb4nvAQ','44153567027','M',19881207,523,3775,20,6);
INSERT INTO alunos(nome, cpf, sexo, data_nascimento, nota_enem, id_cidade, id_estado, id_curso) VALUES('bezRFaKwr4','46419633478','F',19880925,353,3765,20,10);
